Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Ryan Arcidiacono\arcidry01,2,4.9,1.1,3.7,0.9,1.2,0.6,0.7,0.1,2.8,3,4.1,1.5,0,1.5,2.1,5.7
Trevor Ariza\arizatr01,4.3,10.3,2.7,7.3,1.6,3,1.2,1.4,0.5,4.1,4.7,1.7,1.6,0.2,0.8,2.1,12.4
Darrell Arthur\arthuda01,5.6,12,2,5.9,3.6,6.1,0.5,0.8,0.8,3.1,3.8,2.3,2,0.8,3.8,5.6,13.8
Jamel Artis\artisja01,4,10.2,1,3.7,3,6.5,0.9,1.5,0.5,4.4,4.9,2.3,0.3,0.4,1,1.4,9.9
Omer Asik\asikom01,1.8,4.4,0,0,1.8,4.4,0.8,2.6,1.8,7.5,9.3,0.6,0.4,0.8,1.8,4,4.4
D.J. Augustin\augusdj01,5,11,2.3,5.6,2.7,5.5,3.4,3.9,0.6,2.7,3.3,5.9,1.1,0,2.5,1.9,15.7
Luke Babbitt\babbilu01,4.6,10.8,3,7.9,1.6,3,0.9,1.1,0.4,4.5,4.8,1.6,0.4,0.4,1,2.7,13
Dwayne Bacon\bacondw01,3.6,9.7,0.6,2.2,3.1,7.5,1,1.3,0.2,6.1,6.3,1.9,0.8,0.1,1.2,2.3,8.8
Ron Baker\bakerro01,1.9,5.5,1,3.1,0.8,2.4,1.9,2.4,0.5,2.3,2.8,4.4,2.4,0.6,1.7,3.1,6.6
Wade Baldwin\baldwwa01,6.3,9.5,1.8,2.3,4.5,7.2,2.7,4.5,0.5,3.2,3.6,2.3,0.9,0.5,1.8,5.4,17.1
Lonzo Ball\balllo01,4.1,11.4,1.8,6,2.3,5.4,0.6,1.4,1.4,5.9,7.3,7.6,1.8,0.9,2.8,2.4,10.7
J.J. Barea\bareajo01,6.8,15.5,2.6,7,4.2,8.5,1.8,2.3,0.3,4.2,4.5,9.7,0.8,0.1,3.2,1.9,18
Harrison Barnes\barneha02,7.3,16.5,1.6,4.6,5.7,12,3.5,4.3,1.1,5.3,6.4,2.1,0.7,0.2,1.6,1.3,19.8
Will Barton\bartowi01,6.2,13.8,2.1,5.7,4.1,8.1,2.4,3,0.9,4.5,5.5,4.4,1.1,0.7,2,2.3,17
Nicolas Batum\batumni01,4.9,11.8,1.7,5,3.2,6.8,2,2.4,1,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4
Jerryd Bayless\bayleje01,4.2,10.2,2.1,5.7,2.1,4.5,1.4,1.7,0.6,2.5,3.1,2.1,0.9,0.2,1.8,3.5,11.9
Aron Baynes\baynear01,5.1,10.8,0.1,0.5,5,10.3,1.4,1.9,3.2,7.4,10.5,2.3,0.5,1.2,1.9,4.8,11.7
Kent Bazemore\bazemke01,5.7,13.6,2.2,5.5,3.5,8.1,3.2,4,0.5,4.5,5,4.6,2,0.9,3.2,3,16.8
Bradley Beal\bealbr01,8.3,17.9,2.4,6.4,5.9,11.5,3.5,4.5,0.7,3.7,4.4,4.5,1.2,0.4,2.6,1.9,22.5
Malik Beasley\beaslma01,4.5,11,1.7,5.1,2.8,5.9,1.4,2,0.9,3.5,4.4,1.9,0.9,0.4,1.5,2.2,12.1
Michael Beasley\beaslmi01,8.9,17.6,0.7,1.9,8.2,15.7,2.7,3.5,2.1,6.9,9,2.7,0.8,0.9,3.1,3.2,21.3
Marco Belinelli\belinma01,6.2,14.1,2.8,7.3,3.5,6.8,2.7,3,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18
Jordan Bell\belljo01,5.2,8.2,0,0.2,5.2,8.1,1.3,2,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7
DeAndre' Bembry\bembrde01,4.2,10.1,0.9,2.4,3.3,7.8,1.5,2.6,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3,10.8
Dragan Bender\bendedr01,3.3,8.4,2.1,5.6,1.2,2.8,0.7,0.9,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2
Davis Bertans\bertada01,5.3,12.1,3.1,8.4,2.2,3.8,1.3,1.6,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1
Patrick Beverley\beverpa01,5.2,12.8,2.6,6.5,2.6,6.4,1.5,1.8,1.7,3.1,4.9,3.4,1.9,0.5,2.7,3.7,14.4
Khem Birch\birchkh01,4.2,7.8,0,0,4.2,7.8,2.6,3.8,4.4,6.9,11.2,2.1,0.9,1.3,1.3,3.5,11.1
Jabari Bird\birdja01,4.7,8.1,0.9,2.2,3.8,5.9,1.9,4.1,1.9,4.1,5.9,2.5,0.9,0.3,2.5,2.2,12.2
Bismack Biyombo\biyombi01,4.4,8.5,0,0,4.4,8.5,2.5,3.8,3.5,7.8,11.3,1.6,0.5,2.3,2,3.8,11.3
Nemanja Bjelica\bjeline01,4.5,9.7,2,4.8,2.5,4.9,0.9,1.2,1.4,5.8,7.2,2.3,1.3,0.4,1.4,3.7,11.9
Tarik Black\blackta01,5,8.5,0.1,0.7,5,7.8,1.9,4.2,4.2,6.7,10.9,0.9,1.4,2,2.4,7.2,12.1
Antonio Blakeney\blakean01,6.1,16.4,1.7,6,4.4,10.4,3.4,4.5,0.5,3.3,3.8,2.3,0.8,0.1,1.3,2.2,17.3
Eric Bledsoe\bledser01,7.3,15.3,1.9,5.6,5.3,9.8,3.9,4.9,0.8,3.6,4.4,5.7,2.3,0.7,3.3,2.9,20.4
Vander Blue\blueva01,0.8,4,0,1.6,0.8,2.4,0.8,1.6,0,0.8,0.8,2.4,0.8,0,2.4,1.6,2.4
Bogdan Bogdanovic\bogdabo01,5.7,12.8,2.1,5.4,3.6,7.3,1.7,2,0.5,3.2,3.7,4.3,1.2,0.3,2.1,2.8,15.2
Bojan Bogdanovic\bogdabo02,5.9,12.4,2.3,5.6,3.6,6.8,2.6,3,0.4,3.5,3.9,1.7,0.8,0.1,1.5,1.9,16.7
Andrew Bogut\bogutan01,2.8,4.2,0,0,2.8,4.2,0.3,0.3,4.3,8.7,13,2.5,0.7,2.2,3.2,6.7,6
Joel Bolomboy\bolomjo01,2.8,5.7,0,0.9,2.8,4.7,2.8,5.7,5.7,3.8,9.5,0,1.9,0,1.9,2.8,8.5
Devin Booker\bookede01,8.8,20.3,2.8,7.4,5.9,12.9,5.6,6.4,0.5,4.2,4.7,4.9,0.9,0.3,3.7,3.2,26
Trevor Booker\booketr01,5.5,10.7,0.2,1,5.3,9.6,2.1,2.9,3.6,6.2,9.9,2.5,0.9,0.7,1.8,3.7,13.3
Chris Boucher\bouchch01,0,36,0,36,0,0,0,0,0,36,36,0,0,0,0,0,0
Avery Bradley\bradlav01,6.5,15.7,1.9,5.1,4.6,10.6,1.6,2.1,0.6,2.4,2.9,2.4,1.3,0.2,2.5,2.3,16.5
Tony Bradley\bradlto01,3.7,13.7,0,1.2,3.7,12.4,2.5,2.5,5,8.7,13.7,1.2,0,0,0,1.2,9.9
Corey Brewer\breweco01,4.2,9.4,0.9,3.3,3.3,6.1,1.9,2.7,1.3,3.3,4.6,1.9,2.4,0.4,1.5,4.1,11.3
Malcolm Brogdon\brogdma01,6.1,12.6,1.6,4,4.6,8.6,1.9,2.1,0.6,3.3,3.9,3.8,1,0.3,1.7,3.2,15.7
Aaron Brooks\brookaa01,5.3,13.1,2.1,5.9,3.2,7.2,1.5,2.1,1.3,1.9,3.2,3.8,1.1,0,2.1,5.3,14.3
Dillon Brooks\brookdi01,5.2,11.8,1.4,4,3.8,7.8,1.9,2.5,0.8,3.2,3.9,2.1,1.1,0.3,1.9,3.6,13.8
MarShon Brooks\brookma01,9.5,19,3.5,6,6,13.1,3.7,4.3,1.5,2.4,3.9,4.7,2.1,0.6,3,1.1,26.3
Anthony Brown\brownan02,9,9,9,9,0,0,0,0,0,0,0,9,0,0,0,0,27
Bobby Brown\brownbo02,5.9,18.2,3.4,12.5,2.5,5.6,0.3,0.6,0,2.2,2.2,3.4,1.3,0,2.8,1.9,15.7
Jaylen Brown\brownja02,6.2,13.4,2,5.1,4.2,8.3,2.5,3.9,1.1,4.7,5.8,1.9,1.2,0.4,2.1,3,17
Lorenzo Brown\brownlo01,3.6,8.8,0.5,3.1,3.1,5.7,0.5,0.5,0.3,3.6,3.9,3.4,1.3,0,0.8,1.8,8.3
Markel Brown\brownma02,2.3,8.1,1.2,5.8,1.2,2.3,0,0,1.2,4.6,5.8,2.3,0,0,2.3,7,5.8
Sterling Brown\brownst02,3.8,9.5,1.5,4.2,2.3,5.3,1,1.1,1.3,5.4,6.6,1.2,1.4,0.6,1.2,3.7,10.1
Nicolas Brussino\brussni01,0,7.2,0,7.2,0,0,0,0,0,10.8,10.8,0,0,0,0,0,0
Thomas Bryant\bryanth01,4,10.5,0.5,5,3.5,5.5,2.5,4.5,1.5,7,8.5,3,0.5,1,1,3,11
Reggie Bullock\bullore01,5.5,11.3,2.6,5.8,3,5.5,0.8,1,0.6,2.6,3.2,2,1,0.3,1,1.5,14.5
Trey Burke\burketr01,8.9,17.6,1.7,4.8,7.1,12.8,1.7,2.6,0.6,2.7,3.3,7.8,1.1,0.2,2,2,21.1
Alec Burks\burksal01,5.8,14.1,1.6,4.8,4.2,9.2,3.6,4.2,0.6,5.9,6.5,2.3,1.3,0.3,2,2.5,16.8
Jimmy Butler\butleji01,7.3,15.3,1.2,3.3,6.1,12,6,7.1,1.3,3.9,5.2,4.8,1.9,0.4,1.8,1.3,21.7
Dwight Buycks\buyckdw01,6.9,16.7,1.3,3.8,5.6,12.9,3,3.5,1,2.4,3.5,5,1.6,0.2,3.3,3.3,18.1
Bruno Caboclo\cabocbr01,3,10.4,1,5.7,2,4.7,1.7,2,2.4,5,7.4,1.7,1,1.3,1.3,2.7,8.7
Jose Calderon\caldejo01,3.7,7.3,1.8,3.8,1.9,3.5,0.9,1.2,0.6,2.8,3.3,4.6,1.1,0.1,1.6,3.2,10
Kentavious Caldwell-Pope\caldwke01,5,11.7,2.3,6.1,2.7,5.6,2.2,2.8,0.9,4.8,5.7,2.4,1.6,0.2,1.4,2.1,14.5
Isaiah Canaan\canaais01,4.4,11.7,1.9,5.6,2.6,6.1,3.9,4.4,0.5,3.3,3.8,6.5,1.4,0.1,2.5,3.1,14.7
Clint Capela\capelca01,7.8,12,0,0,7.8,11.9,2.5,4.5,4.3,9.9,14.2,1.2,1,2.4,1.8,3.3,18.2
DeMarre Carroll\carrode01,5.4,13,2.4,6.5,3,6.5,3.1,4.1,1.7,6.2,7.9,2.4,1,0.5,1.7,2.7,16.2
Vince Carter\cartevi01,4,9.9,2,5.8,2,4.1,1,1.3,0.6,4.6,5.2,2.4,1.5,0.9,1.3,3.4,11
Michael Carter-Williams\cartemi01,3.3,9.9,0.6,2.5,2.7,7.3,3.1,3.8,1.6,4.4,5.9,5,1.9,1,2.2,4.3,10.3
Alex Caruso\carusal01,3.2,7.4,0.8,2.8,2.4,4.7,1.3,1.9,1,3.2,4.2,4.8,1.5,0.6,2.7,3.3,8.6
Omri Casspi\casspom01,5.8,10.1,0.5,1.1,5.4,9,2.4,3.4,1.5,8.3,9.7,2.5,0.9,0.9,1.8,3.4,14.6
Willie Cauley-Stein\caulewi01,6.8,13.6,0.1,0.2,6.8,13.4,2.7,4.4,2.3,6.7,9,3,1.4,1.2,1.9,3.3,16.4
Tyler Cavanaugh\cavanty01,4.7,10.6,2.2,6.2,2.4,4.4,1.2,1.5,3.1,5.7,8.8,1.9,0.6,0.3,1,4.2,12.7
Mario Chalmers\chalmma01,4.3,11.2,1.3,4.8,2.9,6.4,3,3.5,0.3,3.6,4,5,2,0.4,3,4.5,12.8
Tyson Chandler\chandty01,3.8,5.8,0,0,3.8,5.8,1.8,2.9,4.2,8.9,13.1,1.7,0.5,0.8,1.8,3.3,9.4
Wilson Chandler\chandwi01,4.3,9.7,1.4,3.8,3,5.9,1.4,1.7,1.6,4.5,6.1,2.5,0.7,0.6,1.4,2.4,11.3
Marquese Chriss\chrisma01,4.8,11.2,1.3,4.5,3.4,6.8,2.3,3.7,1.8,7.5,9.3,2,1.2,1.7,2.5,4.8,13.1
Ian Clark\clarkia01,5.5,12.2,1.5,4.8,4,7.4,1.1,1.5,0.2,2.9,3.1,2.7,0.8,0.2,1.4,3,13.6
Jordan Clarkson\clarkjo01,8.2,18.2,2.1,6.1,6.1,12.1,2.9,3.6,1.1,3.1,4.1,4.2,1.1,0.1,2.4,2,21.4
Gian Clavell\clavegi01,3.4,10.1,3.4,8.4,0,1.7,1.1,1.1,0.6,3.4,3.9,1.7,1.1,0,1.1,4.5,11.3
Antonius Cleveland\clevean01,2.3,6.1,0.9,1.2,1.5,5,1.2,1.8,0.9,3.2,4.1,0.6,2,1.5,2,6.7,6.7
John Collins\collijo01,6.3,11,0.3,0.9,6,10,2.7,3.8,3.5,7.4,10.9,2,0.9,1.6,2.1,4.3,15.7
Zach Collins\colliza01,4,10,1.2,3.9,2.8,6.1,0.9,1.4,1.6,6.1,7.6,1.8,0.6,1.1,2,4.6,10.1
Kyle Collinsworth\colliky01,2.8,7.4,0.3,1.3,2.5,6.1,1.6,3,2.4,5.6,8,4.2,1.3,0.7,1.8,3.3,7.6
Darren Collison\collida01,5.6,11.4,1.7,3.7,3.9,7.7,2.3,2.6,0.7,2.5,3.2,6.6,1.6,0.3,1.5,2.2,15.3
Nick Collison\collini01,6.2,9.1,0,0,6.2,9.1,2.4,6.2,3.4,6.2,9.6,1.9,0,0,3.4,3.4,14.9
Mike Conley\conlemi01,6.2,16.2,2.3,7.4,3.9,8.8,5.1,6.4,0,2.6,2.6,4.7,1.2,0.3,1.7,2.3,19.8
Pat Connaughton\connapa01,4,9.4,1.8,5.1,2.2,4.4,0.9,1.1,0.9,3,3.9,2.2,0.6,0.5,1,2.9,10.7
Quinn Cook\cookqu01,5.9,12.3,2.2,5.1,3.7,7.2,1.1,1.2,0.5,3.5,4,4.3,0.6,0,1.6,2.9,15.2
Charles Cooke\cookech01,1.9,13.3,0.9,7.6,0.9,5.7,0.9,1.9,0,1.9,1.9,0.9,0.9,0,0.9,0,5.7
Jack Cooley\cooleja01,5.4,11.2,0,0,5.4,11.2,5.8,7.9,5.8,6.6,12.4,2.5,0.4,0,1.2,5.4,16.6
Matt Costello\costema01,2.3,4.5,0,0,2.3,4.5,0,0,1.1,9,10.1,2.3,2.3,2.3,1.1,7.9,4.5
DeMarcus Cousins\couside01,8.4,17.9,2.2,6.1,6.3,11.8,6.1,8.2,2.2,10.6,12.8,5.3,1.6,1.6,5,3.8,25.1
Robert Covington\covinro01,4.9,11.9,2.9,7.8,2,4.1,1.6,1.9,0.8,5.4,6.2,2.2,1.9,1,1.8,3.4,14.3
Allen Crabbe\crabbal01,5.5,13.6,3.3,8.7,2.2,4.8,1.9,2.2,0.5,4.9,5.3,1.9,0.8,0.6,1.3,2.8,16.2
Torrey Craig\craigto01,3.5,7.8,1,3.3,2.6,4.5,1.3,2,2.3,5,7.3,1.4,0.7,0.9,1.1,3.6,9.3
Jamal Crawford\crawfja01,6.7,16.2,2.3,6.8,4.4,9.3,2.2,2.5,0.5,1.7,2.2,4,0.9,0.2,2.1,1.9,17.9
Jordan Crawford\crawfjo02,8.2,18.3,5.4,9.5,2.7,8.8,0.7,0.7,1.4,1.4,2.7,8.8,0.7,0.7,3.4,4.8,22.4
Jae Crowder\crowdja01,4.7,11.6,1.9,5.9,2.8,5.7,2.1,2.5,1,3.7,4.7,1.7,1.1,0.4,1.3,3.2,13.3
Dante Cunningham\cunnida01,3.8,8.4,1.3,3.9,2.4,4.5,0.7,1.2,1.8,5.1,6.9,1.1,0.9,0.7,0.8,2.6,9.6
Stephen Curry\curryst01,9.4,19.1,4.7,11.1,4.8,8,6.1,6.7,0.8,5,5.8,6.8,1.8,0.2,3.4,2.5,29.7
Troy Daniels\danietr01,5.1,12.8,4.1,10.2,1.1,2.6,1.2,1.4,0.3,2.6,2.8,1.1,0.6,0.1,1.2,3,15.6
Anthony Davis\davisan02,10.3,19.3,0.7,2.1,9.6,17.2,6.5,7.9,2.5,8.5,11,2.3,1.5,2.5,2.1,2.1,27.9
Deyonta Davis\davisde01,6.1,10.1,0,0,6.1,10.1,1.5,2.2,2.9,6.7,9.5,1.5,0.6,1.5,1.2,4.8,13.7
Ed Davis\davised01,4.2,7.1,0,0,4.2,7.1,1.8,2.7,4.5,9.6,14.1,1,0.8,1.3,1.6,4.6,10.1
Dewayne Dedmon\dedmode01,5.8,11.1,1.2,3.3,4.7,7.8,1.6,2,2.3,9.1,11.4,2.1,0.9,1.2,2,3.8,14.4
Sam Dekker\dekkesa01,5.2,10.6,0.4,2.4,4.8,8.1,1.5,2.3,1.8,5.3,7.1,1.5,1,0.4,1.3,2.9,12.4
Malcolm Delaney\delanma01,3.9,10.1,1.6,4.4,2.2,5.7,2.6,3.3,0.3,3.2,3.6,5.8,1.2,0.2,2.3,2.9,12
Matthew Dellavedova\dellama01,2.8,7.7,1.5,3.9,1.3,3.7,1.3,1.4,0.7,2.5,3.2,7.3,0.7,0,2.5,3.4,8.3
Luol Deng\denglu01,2.8,5.5,0,0,2.8,5.5,0,0,0,0,0,2.8,2.8,0,2.8,0,5.5
DeMar DeRozan\derozde01,8.6,18.8,1.2,3.8,7.4,15,6.1,7.4,0.8,3.4,4.2,5.5,1.1,0.3,2.3,2,24.4
Cheick Diallo\diallch01,6.3,10.9,0,0,6.3,10.9,3.1,4.1,2.9,10.2,13.1,1.2,0.7,1.3,1.7,5.1,15.7
Gorgui Dieng\dienggo01,5,10.5,0.5,1.6,4.5,8.8,2.1,2.8,2.9,6.9,9.7,1.9,1.2,1.1,1.6,4,12.7
Spencer Dinwiddie\dinwisp01,5.1,13.1,2.2,6.8,2.9,6.3,3.4,4.2,0.6,3.4,4,8.2,1.1,0.4,2,2.9,15.7
Tyler Dorsey\dorsety01,5.3,14.1,2.7,7.4,2.7,6.8,1.7,2.3,0.6,4.2,4.8,2.9,0.6,0.2,1.4,2.3,15
Damyean Dotson\dotsoda01,5.5,12.2,1.7,5.2,3.8,7.1,1.2,1.7,0.7,5.7,6.4,2.4,0.9,0.2,1.3,2.6,13.8
Milton Doyle\doylemi01,3.7,13.5,1.2,6.6,2.6,6.9,1.2,2.3,0.9,4.3,5.2,2.9,1.7,0.6,0.6,3.7,9.8
PJ Dozier\doziepj01,12,24,0,0,12,24,0,0,0,12,12,0,0,0,12,12,24
Goran Dragic\dragigo01,7.3,16.3,1.7,4.5,5.6,11.7,3.3,4.1,0.8,3.8,4.6,5.4,1,0.2,2.5,2.7,19.6
Larry Drew\drewla02,3.6,12.3,1.5,4.6,2.1,7.7,0,0,1.5,0,1.5,5.1,0,0,1.5,3.1,8.7
Andre Drummond\drumman01,6.4,12.1,0,0.2,6.4,11.9,3.3,5.4,5.5,11.6,17.1,3.3,1.6,1.7,2.7,3.4,16.1
Jared Dudley\dudleja01,2.5,6.4,1.5,4.2,1,2.2,1.4,1.8,0.4,4.5,4.9,4.1,1.3,0.6,1.5,4.5,8
Kris Dunn\dunnkr01,6.8,15.7,1,3.2,5.7,12.6,2,2.7,0.6,4.7,5.2,7.3,2.5,0.6,3.5,4.1,16.5
Kevin Durant\duranke01,9.8,18.9,2.7,6.4,7.1,12.5,5.6,6.3,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7
Jarell Eddie\eddieja01,0,8,0,8,0,0,0,0,0,4,4,0,4,0,0,0,0
Henry Ellenson\ellenhe01,5.8,16,2.2,6.6,3.6,9.4,2.7,3.2,1.1,7.8,8.9,2.2,0.5,0,2,2.4,16.5
Wayne Ellington\ellinwa01,5,12.3,4,10.2,1,2.1,1.2,1.4,0.4,3.4,3.8,1.4,0.9,0.1,0.9,1.7,15.2
Joel Embiid\embiijo01,9.6,19.9,1.2,4,8.4,15.9,6.8,8.8,2.7,10.3,13,3.7,0.8,2.1,4.4,3.9,27.2
James Ennis\ennisja01,4.1,8.6,1.1,3.4,2.9,5.2,2.2,2.6,1.6,3.4,5,1.6,1.1,0.4,1.3,3,11.5
Tyler Ennis\ennisty01,5,11.8,0.7,3,4.2,8.9,1.2,1.5,1,4,5,5.5,1.6,0.5,2,4,11.8
Jawun Evans\evansja01,4.1,11.7,0.7,2.5,3.4,9.2,1.8,2.3,0.4,3.5,3.9,4.6,1.7,0.3,2,4.5,10.7
Jeremy Evans\evansje01,7.2,7.2,0,0,7.2,7.2,0,0,7.2,0,7.2,0,0,0,7.2,7.2,14.4
Tyreke Evans\evansty01,8.2,18.1,2.6,6.4,5.6,11.7,3.7,4.7,1,5,5.9,6,1.3,0.4,2.6,2.2,22.6
Dante Exum\exumda01,6.4,13.3,0.8,2.8,5.7,10.6,3.8,4.7,0.6,3.4,4,6.6,1.2,0.5,3.1,3.1,17.5
Kenneth Faried\farieke01,5.9,11.6,0,0.1,5.9,11.5,2.8,4,5.3,6.6,11.9,1.4,0.9,1,1.8,4,14.7
Derrick Favors\favorde01,6.6,11.7,0.2,1.1,6.4,10.7,2.3,3.6,3.3,5.9,9.2,1.7,0.9,1.4,1.5,2.7,15.8
Kay Felder\feldeka01,5.4,18,1,4.9,4.4,13.1,2.8,3.1,0.8,3.9,4.6,5.1,0.8,0.3,4.1,2.8,14.7
Cristiano Felicio\feliccr01,4.7,7.9,0,0.1,4.7,7.8,2,3,3.1,5.5,8.6,2,0.6,0.4,2,3.8,11.3
Raymond Felton\feltora01,5.9,14.6,2.1,6.1,3.8,8.5,0.9,1.2,0.7,3.5,4.1,5.4,1.3,0.4,2,2.4,14.9
Terrance Ferguson\fergute01,3.3,8,1.9,5.7,1.4,2.3,0.4,0.5,0.9,1.3,2.2,0.9,1.1,0.5,0.5,3.9,8.9
Yogi Ferrell\ferreyo01,4.9,11.5,2.1,5.7,2.8,5.9,1.3,1.6,0.4,3.5,3.9,3.2,1,0.1,1.2,2.4,13.2
Dorian Finney-Smith\finnedo01,3.7,9.7,1.6,5.4,2.1,4.3,0.9,1.2,1.8,4.3,6,2.1,0.8,0.3,1.7,3.5,9.9
Bryn Forbes\forbebr01,5,11.8,2.1,5.4,2.8,6.4,1.1,1.7,0.3,2.3,2.6,1.9,0.7,0,0.9,2.6,13.2
Evan Fournier\fournev01,7.2,15.7,2.5,6.6,4.7,9.2,2.9,3.4,0.5,3.1,3.5,3.2,0.9,0.3,1.9,2.7,19.9
De'Aaron Fox\foxde01,5.8,14.2,0.8,2.7,5,11.4,2.5,3.5,0.6,3,3.6,5.7,1.2,0.4,3.1,2.9,15
Tim Frazier\fraziti01,2.9,7.4,0.7,2.4,2.2,5,1,1.3,0.8,4.2,4.9,8.3,2,0.3,2.4,4.2,7.6
Channing Frye\fryech01,5.4,11,2,6,3.4,5,0.9,1,0.6,6.4,7,2,0.9,0.7,1.1,3.6,13.7
Markelle Fultz\fultzma01,6.4,15.8,0,0.1,6.4,15.7,1.4,3,1.6,4.6,6.1,7.5,1.7,0.6,2.4,3.1,14.2
Danilo Gallinari\gallida01,5.5,13.7,1.9,6,3.5,7.8,4.3,4.7,0.5,4.9,5.4,2.2,0.6,0.5,1.4,1.6,17.2
Langston Galloway\gallola01,5.3,14.2,3.1,9.1,2.1,5.1,1.4,1.7,0.5,3.3,3.8,2.4,1.5,0.2,0.8,1.6,15
Marc Gasol\gasolma01,6.5,15.4,1.6,4.8,4.9,10.7,4.2,5,1.2,7.7,8.9,4.6,0.8,1.5,2.9,2.8,18.8
Pau Gasol\gasolpa01,5.7,12.5,0.9,2.4,4.8,10.1,3.1,4.2,2.6,9.7,12.3,4.7,0.5,1.6,2.1,2.4,15.4
Rudy Gay\gayru01,7.4,15.7,1.1,3.5,6.3,12.3,3.3,4.2,2.2,6.3,8.5,2.1,1.3,1.1,2.3,2.9,19.2
Paul George\georgpa01,7.2,16.7,3,7.6,4.1,9.1,4.2,5.1,0.9,4.7,5.6,3.3,2,0.5,2.6,2.9,21.6
Marcus Georges-Hunt\georgma01,3.4,7.7,0.6,2.4,2.7,5.3,2.1,3.4,1.1,1.4,2.6,1.1,1,0,0.5,5.1,9.5
Jonathan Gibson\gibsojo01,12.6,20.7,5.4,10.8,7.2,9.9,0,0,0,2.7,2.7,3.6,0,0,2.7,4.5,30.6
Taj Gibson\gibsota01,5.6,9.7,0.1,0.5,5.5,9.3,1.9,2.4,2.6,5.2,7.7,1.3,0.8,0.8,1.2,2.9,13.2
Manu Ginobili\ginobma01,5.6,12.8,1.8,5.3,3.8,7.5,3,3.6,0.5,3.4,3.9,4.5,1.2,0.4,2.9,3.5,16
Rudy Gobert\goberru01,5.5,8.8,0,0,5.5,8.8,4,5.9,3.3,8.6,11.9,1.6,0.9,2.6,2.1,3,15
