No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
36,Marcus Smart\smartma01,PG,6/4,220,March 6 1994,us,R,Oklahoma State University
7,Jared Sullinger\sullija01,PF,6/9,260,March 4 1992,us,2,Ohio State University
4,Isaiah Thomas\thomais02,PG,5/9,185,February 7 1989,us,3,University of Washington
4,Marcus Thornton\thornma01,SG,6/4,205,June 5 1987,us,5,Louisiana State University
11,Evan Turner\turneev01,SG,6/7,220,October 27 1988,us,4,Ohio State University
45,Gerald Wallace\wallage01,SF,6/7,215,July 23 1982,us,13,University of Alabama
12,Brandan Wright\wrighbr03,PF,6/10,210,October 5 1987,us,6,University of North Carolina
13,James Young\youngja01,SG,6/6,215,August 16 1995,us,R,University of Kentucky
44,Tyler Zeller\zellety01,C,7/1,253,January 17 1990,us,2,University of North Carolina
6,Alan Anderson\anderal01,SG,6/6,220,October 16 1982,us,5,Michigan State University
44,Bojan Bogdanovic\bogdabo02,SF,6/8,216,April 18 1989,ba,R,
22,Markel Brown\brownma02,SG,6/3,190,January 29 1992,us,R,Oklahoma State University
55,Earl Clark\clarkea01,PF,6/10,225,January 17 1988,us,5,University of Louisville
20,Brandon Davies\daviebr01,PF,6/10,240,July 25 1991,us,1,Brigham Young University
2,Kevin Garnett\garneke01,PF,6/11,240,May 19 1976,us,19,
13,Jorge Gutierrez\gutiejo01,PG,6/3,191,December 27 1988,mx,1,University of California
0,Jarrett Jack\jackja01,PG,6/3,200,October 28 1983,us,9,Georgia Institute of Technology
21,Cory Jefferson\jeffeco01,PF,6/9,218,December 26 1990,us,R,Baylor University
7,Joe Johnson\johnsjo02,SG,6/7,240,June 29 1981,us,13,University of Arkansas
9,Jerome Jordan\jordaje01,C,7/1,253,September 29 1986,jm,1,University of Tulsa
10,Sergey Karasev\karasse01,SG,6/7,208,October 26 1993,ru,1,
47,Andrei Kirilenko\kirilan01,SF,6/9,220,February 18 1981,ru,12,
11,Brook Lopez\lopezbr01,C,7/1,275,April 1 1988,us,6,Stanford University
14,Darius Morris\morrida01,PG,6/4,190,January 3 1991,us,3,University of Michigan
1,Mason Plumlee\plumlma01,C,6/11,245,March 5 1990,us,1,Duke University
33,Mirza Teletovic\teletmi01,PF,6/9,242,September 18 1985,ba,2,
8,Deron Williams\willide01,PG,6/3,200,June 26 1984,us,9,University of Illinois at Urbana-Champaign
30,Thaddeus Young\youngth01,PF,6/8,221,June 21 1988,us,7,Georgia Institute of Technology
19,Furkan Aldemir\aldemfu01,PF,6/10,240,August 9 1991,tr,R,
0,Isaiah Canaan\canaais01,PG,6/1,201,May 21 1991,us,1,Murray State University
1,Michael Carter-Williams\cartemi01,PG,6/6,190,October 10 1991,us,1,Syracuse University
33,Robert Covington\covinro01,SF,6/9,215,December 14 1990,us,1,Tennessee State University
0,Brandon Davies\daviebr01,PF,6/10,240,July 25 1991,us,1,Brigham Young University
7,Larry Drew\drewla02,PG,6/2,180,March 5 1990,us,R,University of North Carolina University of California Los Angeles
20,Tim Frazier\fraziti01,PG,6/1,170,November 1 1990,us,R,Pennsylvania State University
30,Drew Gordon\gordodr01,PF,6/9,245,July 12 1990,us,R,University of California Los Angeles University of New Mexico
39,Jerami Grant\grantje01,SF,6/8,210,March 12 1994,us,R,Syracuse University
16,Chris Johnson\johnsch04,SF,6/6,206,April 29 1990,us,2,University of Dayton
11,Malcolm Lee\leema01,SG,6/5,200,May 22 1990,us,2,University of California Los Angeles
12,Luc Mbah a Moute\mbahalu01,PF,6/8,230,September 9 1986,cm,6,University of California Los Angeles
14,K.J. McDaniels\mcdankj01,SG,6/6,205,February 9 1993,us,R,Clemson University
1,JaVale McGee\mcgeeja01,C,7/1,270,January 19 1988,us,6,University of Nevada Reno
4,Nerlens Noel\noelne01,C,6/11,228,April 10 1994,us,R,University of Kentucky
23,Jason Richardson\richaja01,SG,6/6,220,January 20 1981,us,12,Michigan State University
1,Glenn Robinson\robingl02,SF,6/6,222,January 8 1994,us,R,University of Michigan
41,Thomas Robinson\robinth01,PF,6/10,237,March 17 1991,us,2,University of Kansas
9,JaKarr Sampson\sampsja02,SF,6/9,214,March 20 1993,us,R,St. John's University
88,Alexey Shved\shvedal01,SG,6/6,190,December 16 1988,ru,2,
35,Henry Sims\simshe01,C,6/10,248,March 27 1990,us,2,Georgetown University
5,Ish Smith\smithis01,PG,6/1,175,July 5 1988,us,4,Wake Forest University
11,Malcolm Thomas\thomama01,PF,6/9,225,November 8 1988,us,3,Pepperdine University San Diego State University
31,Hollis Thompson\thompho01,SG,6/8,206,April 3 1991,us,1,Georgetown University
8,Tony Wroten\wroteto01,PG,6/6,205,April 13 1993,us,2,University of Washington
4,Quincy Acy\acyqu01,PF,6/7,240,October 6 1990,us,2,Baylor University
45,Cole Aldrich\aldrico01,C,6/11,250,October 31 1988,us,4,University of Kansas
21,Lou Amundson\amundlo01,PF,6/9,220,December 7 1982,us,8,University of Nevada Las Vegas
7,Carmelo Anthony\anthoca01,SF,6/8,240,May 29 1984,us,11,Syracuse University
77,Andrea Bargnani\bargnan01,C,7/1,245,October 26 1985,it,8,
3,Jose Calderon\caldejo01,PG,6/3,200,September 28 1981,es,9,
11,Samuel Dalembert\dalemsa01,C,6/11,255,May 10 1981,ht,12,Seton Hall University
17,Cleanthony Early\earlycl01,SF,6/8,210,April 17 1991,us,R,Wichita State University
2,Langston Galloway\gallola01,PG,6/2,200,December 9 1991,us,R,Saint Joseph's University
5,Tim Hardaway\hardati02,SG,6/6,205,March 16 1992,us,1,University of Michigan
0,Shane Larkin\larkish01,PG,5/11,175,October 2 1992,us,1,University of Miami
11,Ricky Ledo\ledori01,SG,6/7,195,September 10 1992,us,1,
9,Pablo Prigioni\prigipa01,PG,6/3,185,May 17 1977,ar,2,
21,Iman Shumpert\shumpim01,SG,6/5,220,June 26 1990,us,3,Georgia Institute of Technology
1,Alexey Shved\shvedal01,SG,6/6,190,December 16 1988,ru,2,
8,J.R. Smith\smithjr01,SG,6/6,225,September 9 1985,us,10,
14,Jason Smith\smithja02,C,7/1,245,March 2 1986,us,6,Colorado State University
1,Amar'e Stoudemire\stoudam01,PF,6/10,245,November 16 1982,us,12,
42,Lance Thomas\thomala01,PF,6/8,235,April 24 1988,us,3,Duke University
6,Travis Wear\weartr01,SF,6/10,230,September 21 1990,us,R,University of North Carolina University of California Los Angeles
89,Lou Amundson\amundlo01,PF,6/9,220,December 7 1982,us,8,University of Nevada Las Vegas
5,Will Cherry\cherrwi01,PG,6/1,185,February 8 1991,us,R,University of Montana
8,Matthew Dellavedova\dellama01,SG,6/4,198,September 8 1990,au,1,Saint Mary's College of California
12,Joe Harris\harrijo01,SG,6/6,219,September 6 1991,us,R,University of Virginia
33,Brendan Haywood\haywobr01,C,7/1,268,November 27 1979,us,12,University of North Carolina
2,Kyrie Irving\irvinky01,PG,6/3,193,March 23 1992,au,3,Duke University
23,LeBron James\jamesle01,SF,6/8,250,December 30 1984,us,11,
1,James Jones\jonesja02,SF,6/8,218,October 4 1980,us,11,University of Miami
53,Alex Kirk\kirkal01,C,7/1,245,November 14 1991,us,R,University of New Mexico
0,Kevin Love\loveke01,PF,6/10,251,September 7 1988,us,6,University of California Los Angeles
31,Shawn Marion\mariosh01,SF,6/7,220,May 7 1978,us,15,University of Nevada Las Vegas
18,Mike Miller\millemi01,SF,6/8,218,February 19 1980,us,14,University of Florida
20,Timofey Mozgov\mozgoti01,C,7/1,275,July 16 1986,ru,4,
3,Kendrick Perkins\perkike01,C,6/10,270,November 10 1984,us,11,
21,A.J. Price\priceaj01,PG,6/2,181,October 7 1986,us,5,University of Connecticut
4,Iman Shumpert\shumpim01,SG,6/5,220,June 26 1990,us,3,Georgia Institute of Technology
5,J.R. Smith\smithjr01,SG,6/6,225,September 9 1985,us,10,
13,Tristan Thompson\thomptr01,PF,6/9,238,March 13 1991,ca,3,University of Texas at Austin
17,Anderson Varejao\varejan01,C,6/10,273,September 28 1982,br,10,
3,Dion Waiters\waitedi01,SG,6/4,225,December 10 1991,us,2,Syracuse University
41,Cameron Bairstow\bairsca01,PF,6/9,250,December 7 1990,au,R,University of New Mexico
0,Aaron Brooks\brookaa01,PG,6/1,161,January 14 1985,us,6,University of Oregon
21,Jimmy Butler\butleji01,SG,6/8,236,September 14 1989,us,3,Marquette University
34,Mike Dunleavy\dunlemi02,SF,6/9,230,September 15 1980,us,12,Duke University
16,Pau Gasol\gasolpa01,PF,7/1,250,July 6 1980,es,13,
22,Taj Gibson\gibsota01,PF,6/9,225,June 24 1985,us,5,University of Southern California
12,Kirk Hinrich\hinriki01,SG,6/4,190,January 2 1981,us,11,University of Kansas
3,Doug McDermott\mcderdo01,SF,6/8,225,January 3 1992,us,R,Creighton University
44,Nikola Mirotic\mirotni01,PF,6/10,220,February 11 1991,me,R,
48,Nazr Mohammed\mohamna01,C,6/10,221,September 5 1977,us,16,University of Kentucky
55,E'Twaun Moore\mooreet01,SG,6/4,191,February 28 1989,us,3,Purdue University
13,Joakim Noah\noahjo01,C,6/11,230,February 25 1985,us,7,University of Florida
1,Derrick Rose\rosede01,PG,6/3,190,October 4 1988,us,5,University of Memphis
20,Tony Snell\snellto01,SF,6/7,200,November 10 1991,us,1,University of New Mexico
34,Giannis Antetokounmpo\antetgi01,SG,6/11,222,December 6 1994,gr,1,
19,Jerryd Bayless\bayleje01,PG,6/3,200,August 20 1988,us,6,University of Arizona
5,Michael Carter-Williams\cartemi01,PG,6/6,190,October 10 1991,us,1,Syracuse University
9,Jared Dudley\dudleja01,SG,6/7,225,July 10 1985,us,7,Boston College
11,Tyler Ennis\ennisty01,PG,6/3,194,August 24 1994,ca,R,Syracuse University
13,Jorge Gutierrez\gutiejo01,PG,6/3,191,December 27 1988,mx,1,University of California
31,John Henson\hensojo01,C,6/11,229,December 28 1990,us,2,University of North Carolina
7,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,6,
23,Chris Johnson\johnsch04,SF,6/6,206,April 29 1990,us,2,University of Dayton
11,Brandon Knight\knighbr03,PG,6/3,189,December 2 1991,us,3,University of Kentucky
5,Kendall Marshall\marshke01,PG,6/4,200,August 19 1991,us,2,University of North Carolina
6,Kenyon Martin\martike01,PF,6/9,234,December 30 1977,us,14,University of Cincinnati
0,O.J. Mayo\mayooj01,SG,6/5,210,November 5 1987,us,6,University of Southern California
22,Khris Middleton\middlkh01,SF,6/8,234,August 12 1991,us,2,Texas A&M University
3,Johnny O'Bryant\obryajo01,PF,6/9,257,June 1 1993,us,R,Louisiana State University
27,Zaza Pachulia\pachuza01,C,6/11,270,February 10 1984,ge,11,
12,Jabari Parker\parkeja01,PF,6/8,250,March 15 1995,us,R,Duke University
21,Miles Plumlee\plumlmi01,C,6/11,249,September 1 1988,us,2,Duke University
8,Larry Sanders\sandela01,C,6/11,235,November 21 1988,us,4,Virginia Commonwealth University
6,Nate Wolters\woltena01,PG,6/4,190,May 15 1991,us,1,South Dakota State University
5,Lavoy Allen\allenla01,C,6/9,260,February 4 1989,us,3,Temple University
22,Chris Copeland\copelch01,SF,6/9,239,March 17 1984,us,2,University of Colorado
13,Paul George\georgpa01,SF,6/9,220,May 2 1990,us,4,California State University Fresno
55,Roy Hibbert\hibbero01,C,7/2,270,December 11 1986,us,6,Georgetown University
3,George Hill\hillge01,PG,6/3,188,May 4 1986,us,6,Indiana University-Purdue University Indianapolis
44,Solomon Hill\hillso01,SF,6/7,225,March 18 1991,us,1,University of Arizona
28,Ian Mahinmi\mahinia01,C,6/11,250,November 5 1986,fr,6,
0,C.J. Miles\milescj01,SG,6/6,225,April 18 1987,us,9,
12,A.J. Price\priceaj01,PG,6/2,181,October 7 1986,us,5,University of Connecticut
9,Damjan Rudez\rudezda01,SF,6/10,228,June 17 1986,hr,R,
4,Luis Scola\scolalu01,PF,6/9,240,April 30 1980,ar,7,
15,Donald Sloan\sloando01,PG,6/3,205,January 15 1988,us,3,Texas A&M University
2,Rodney Stuckey\stuckro01,PG,6/5,210,April 21 1986,us,7,Eastern Washington University
32,C.J. Watson\watsocj01,PG,6/2,175,April 17 1984,us,7,University of Tennessee
21,David West\westda01,PF,6/9,250,August 29 1980,us,11,Xavier University
42,Shayne Whittington\whittsh01,PF,6/11,250,March 27 1991,us,R,Western Michigan University
50,Joel Anthony\anthojo01,C,6/9,245,August 9 1982,ca,7,University of Nevada Las Vegas
14,D.J. Augustin\augusdj01,PG,6/1,183,November 10 1987,us,6,University of Texas at Austin
31,Caron Butler\butleca01,SF,6/7,228,March 13 1980,us,12,University of Connecticut
5,Kentavious Caldwell-Pope\caldwke01,SG,6/5,205,February 18 1993,us,1,University of Georgia
13,Luigi Datome\datomlu01,SF,6/8,215,November 27 1987,it,1,
8,Spencer Dinwiddie\dinwisp01,PG,6/6,200,April 6 1993,us,R,University of Colorado
0,Andre Drummond\drumman01,C,6/11,279,August 10 1993,us,2,University of Connecticut
1,Reggie Jackson\jacksre01,PG,6/3,208,April 16 1990,it,3,Boston College
7,Brandon Jennings\jennibr01,PG,6/1,170,September 23 1989,us,5,
33,Jonas Jerebko\jerebjo01,PF,6/10,231,March 2 1987,se,4,
9,John Lucas III\lucasjo02,PG,5/11,166,November 21 1982,us,6,Baylor University Oklahoma State University
35,Cartier Martin\martica01,SF,6/7,220,November 20 1984,us,6,Kansas State University
20,Jodie Meeks\meeksjo01,SG,6/4,210,August 21 1987,us,5,University of Kentucky
20,Quincy Miller\millequ01,PF,6/9,210,November 18 1992,us,2,Baylor University
10,Greg Monroe\monrogr01,PF,6/11,265,June 4 1990,us,4,Georgetown University
22,Tayshaun Prince\princta01,SF,6/9,212,February 28 1980,us,12,University of Kentucky
25,Kyle Singler\singlky01,SF,6/8,228,May 4 1988,us,2,Duke University
6,Josh Smith\smithjo03,PF,6/9,225,December 5 1985,us,10,
43,Anthony Tolliver\tollian01,PF,6/8,240,June 1 1985,us,6,Creighton University
3,Shawne Williams\willish03,SF,6/9,225,February 16 1986,us,6,University of Memphis
6,Pero Antic\anticpe01,C,6/11,260,July 29 1982,mk,1,
24,Kent Bazemore\bazemke01,SG,6/5,201,July 1 1989,us,2,Old Dominion University
7,Elton Brand\brandel01,C,6/8,275,March 11 1979,us,15,Duke University
5,DeMarre Carroll\carrode01,SF,6/8,215,July 27 1986,us,5,Vanderbilt University University of Missouri
3,Austin Daye\dayeau01,SF,6/11,220,June 5 1988,us,5,Gonzaga University
15,Al Horford\horfoal01,C,6/10,245,June 3 1986,do,7,University of Florida
12,John Jenkins\jenkijo01,SG,6/4,215,March 6 1991,us,2,Vanderbilt University
26,Kyle Korver\korveky01,SG,6/7,212,March 17 1981,us,11,Creighton University
8,Shelvin Mack\macksh01,PG,6/3,203,April 22 1990,us,3,Butler University
4,Paul Millsap\millspa01,PF,6/8,246,February 10 1985,us,8,Louisiana Tech University
31,Mike Muscala\muscami01,PF,6/11,240,July 1 1991,us,1,Bucknell University
33,Adreian Payne\paynead01,PF,6/10,237,February 19 1991,us,R,Michigan State University
17,Dennis Schroder\schrode01,PG,6/1,172,September 15 1993,de,1,
32,Mike Scott\scottmi01,PF,6/8,237,July 16 1988,us,2,University of Virginia
25,Thabo Sefolosha\sefolth01,SF,6/7,220,May 2 1984,ch,8,
0,Jeff Teague\teaguje01,PG,6/2,186,June 10 1988,us,5,Wake Forest University
3,Bradley Beal\bealbr01,SG,6/5,207,June 28 1993,us,2,University of Florida
45,DeJuan Blair\blairde01,PF,6/7,270,April 22 1989,us,5,University of Pittsburgh
8,Rasual Butler\butlera01,SF,6/7,215,May 23 1979,us,11,La Salle University
1,Will Bynum\bynumwi01,SG,6/1,185,January 4 1983,us,7,University of Arizona Georgia Institute of Technology
90,Drew Gooden\goodedr01,PF,6/10,250,September 24 1981,us,12,University of Kansas
4,Marcin Gortat\gortama01,C,6/11,240,February 17 1984,pl,7,
42,Nene Hilario\hilarne01,PF,6/11,250,September 13 1982,br,12,
43,Kris Humphries\humphkr01,PF,6/9,235,February 6 1985,us,10,University of Minnesota
24,Andre Miller\millean02,PG,6/3,200,March 19 1976,us,15,University of Utah
1,Toure' Murry\murryto01,SG,6/5,195,November 8 1989,us,1,Wichita State University
34,Paul Pierce\piercpa01,SF,6/7,235,October 13 1977,us,16,University of Kansas
22,Otto Porter\porteot01,SF,6/8,198,June 3 1993,us,1,Georgetown University
14,Glen Rice\ricegl02,SG,6/6,206,January 1 1991,us,1,Georgia Institute of Technology
13,Kevin Seraphin\serapke01,C,6/9,285,December 7 1989,gf,4,
7,Ramon Sessions\sessira01,PG,6/3,190,April 11 1986,us,7,University of Nevada Reno
17,Garrett Temple\templga01,SG,6/6,195,May 8 1986,us,4,Louisiana State University
2,John Wall\walljo01,PG,6/4,195,September 6 1990,us,4,University of Kentucky
9,Martell Webster\webstma02,SF,6/7,230,December 4 1986,us,9,
11,Chris Andersen\anderch01,C,6/10,245,July 7 1978,us,12,Blinn College
30,Michael Beasley\beaslmi01,PF,6/9,235,January 9 1989,us,6,Kansas State University
1,Chris Bosh\boshch01,C,6/11,235,March 24 1984,us,11,Georgia Institute of Technology
26,Shannon Brown\brownsh01,SG,6/4,205,November 29 1985,us,8,Michigan State University
15,Mario Chalmers\chalmma01,PG,6/2,190,May 19 1986,us,6,University of Kansas
30,Norris Cole\coleno01,PG,6/2,175,October 13 1988,us,3,Cleveland State University
24,Andre Dawkins\dawkian01,SG,6/5,215,September 19 1991,us,R,Duke University
9,Luol Deng\denglu01,SF,6/9,220,April 16 1985,ss,10,Duke University
7,Goran Dragic\dragigo01,PG,6/3,190,May 6 1986,si,6,
12,Zoran Dragic\dragizo01,SG,6/5,200,June 22 1989,si,R,
32,James Ennis\ennisja01,SF,6/7,210,July 1 1990,us,R,California State University Long Beach
22,Danny Granger\grangda01,SF,6/9,222,April 20 1983,us,9,Bradley University University of New Mexico
7,Justin Hamilton\hamilju01,C,7/1,260,April 1 1990,us,1,Iowa State University Louisiana State University
40,Udonis Haslem\hasleud01,PF,6/8,235,June 9 1980,us,11,University of Florida
8,Tyler Johnson\johnsty01,SG,6/4,186,May 7 1992,us,R,California State University Fresno
4,Josh McRoberts\mcrobjo01,PF,6/10,240,February 28 1987,us,7,Duke University
13,Shabazz Napier\napiesh01,PG,6/1,175,July 14 1991,us,R,University of Connecticut
3,Dwyane Wade\wadedw01,SG,6/4,220,January 17 1982,us,11,Marquette University
5,Henry Walker\walkebi01,SF,6/6,220,October 9 1987,us,4,Kansas State University
21,Hassan Whiteside\whiteha01,C,7/1,265,June 13 1989,us,2,Marshall University
43,Shawne Williams\willish03,SF,6/9,225,February 16 1986,us,6,University of Memphis
8,Bismack Biyombo\biyombi01,C,6/9,255,August 28 1992,cd,3,
30,Troy Daniels\danietr01,SG,6/4,205,July 15 1991,us,1,Virginia Commonwealth University
19,P.J. Hairston\hairspj02,SG,6/6,230,December 24 1992,us,R,University of North Carolina
9,Gerald Henderson\hendege02,SG,6/5,215,December 9 1987,us,5,Duke University
25,Al Jefferson\jeffeal01,C,6/10,289,January 4 1985,us,10,
14,Michael Kidd-Gilchrist\kiddgmi01,SF,6/7,232,September 26 1993,us,2,University of Kentucky
54,Jason Maxiell\maxieja01,PF,6/7,260,February 18 1983,us,9,University of Cincinnati
12,Gary Neal\nealga01,SG,6/4,210,October 3 1984,us,4,La Salle University Towson University
5,Jannero Pargo\pargoja01,PG,6/1,175,October 22 1979,us,10,University of Arkansas
22,Brian Roberts\roberbr01,PG,6/1,173,December 3 1985,us,2,University of Dayton
1,Lance Stephenson\stephla01,SG,6/5,230,September 5 1990,us,4,University of Cincinnati
44,Jeffery Taylor\tayloje03,SF,6/7,225,May 23 1989,se,2,Vanderbilt University
11,Noah Vonleh\vonleno01,PF,6/10,240,August 24 1995,us,R,Indiana University
15,Kemba Walker\walkeke02,PG,6/1,172,May 8 1990,us,3,University of Connecticut
2,Marvin Williams\willima02,PF,6/9,237,June 19 1986,us,9,University of North Carolina
7,Mo Williams\willima01,PG,6/1,198,December 19 1982,us,11,University of Alabama
40,Cody Zeller\zelleco01,C,7/1,240,October 5 1992,us,1,Indiana University
3,Dewayne Dedmon\dedmode01,C,7/1,245,August 12 1989,us,1,University of Southern California
10,Evan Fournier\fournev01,SG,6/7,205,October 29 1992,fr,2,
8,Channing Frye\fryech01,PF,6/11,255,May 17 1983,us,8,University of Arizona
0,Aaron Gordon\gordoaa01,PF,6/9,220,September 16 1995,us,R,University of Arizona
7,Ben Gordon\gordobe01,SG,6/3,200,April 4 1983,gb,10,University of Connecticut
34,Willie Green\greenwi01,SG,6/4,200,July 28 1981,us,11,University of Detroit Mercy
21,Maurice Harkless\harklma01,SF,6/9,215,May 11 1993,us,2,St. John's University
12,Tobias Harris\harrito02,SF,6/9,235,July 15 1992,us,3,University of Tennessee
11,Devyn Marble\marblde01,SG,6/6,200,September 21 1992,us,R,University of Iowa
44,Andrew Nicholson\nichoan01,PF,6/9,250,December 8 1989,ca,2,St. Bonaventure University
2,Kyle O'Quinn\oquinky01,PF,6/10,250,March 26 1990,us,2,Norfolk State University
5,Victor Oladipo\oladivi01,SG,6/4,210,May 4 1992,us,1,Indiana University
4,Elfrid Payton\paytoel01,PG,6/4,185,February 22 1994,us,R,University of Louisiana at Lafayette
13,Luke Ridnour\ridnolu01,PG,6/2,175,February 13 1981,us,11,University of Oregon
9,Nikola Vucevic\vucevni01,C,7/1,260,October 24 1990,ch,3,University of Southern California
4,Arron Afflalo\afflaar01,SG,6/5,210,October 15 1985,us,7,University of California Los Angeles
12,LaMarcus Aldridge\aldrila01,PF,6/11,260,July 19 1985,us,8,University of Texas at Austin
5,Will Barton\bartowi01,SG,6/6,175,January 6 1991,us,2,University of Memphis
88,Nicolas Batum\batumni01,SF,6/8,200,December 14 1988,fr,6,
5,Steve Blake\blakest01,PG,6/3,172,February 26 1980,us,11,University of Maryland
18,Victor Claver\clavevi01,SF,6/9,224,August 30 1988,es,2,
23,Allen Crabbe\crabbal01,SG,6/6,210,April 9 1992,us,1,University of California
10,Tim Frazier\fraziti01,PG,6/1,170,November 1 1990,us,R,Pennsylvania State University
19,Joel Freeland\freeljo01,C,6/10,250,February 7 1987,gb,2,
33,Alonzo Gee\geeal01,SF,6/6,225,May 29 1987,us,5,University of Alabama
35,Chris Kaman\kamanch01,C,7/1,265,April 28 1982,us,11,Central Michigan University
11,Meyers Leonard\leoname01,C,7/1,245,February 27 1992,us,2,University of Illinois at Urbana-Champaign
0,Damian Lillard\lillada01,PG,6/3,195,July 15 1990,us,2,Weber State University
42,Robin Lopez\lopezro01,C,7/1,255,April 1 1988,us,6,Stanford University
2,Wesley Matthews\matthwe02,SG,6/5,220,October 14 1986,us,5,Marquette University
3,CJ McCollum\mccolcj01,SG,6/3,190,September 19 1991,us,1,Lehigh University
41,Thomas Robinson\robinth01,PF,6/10,237,March 17 1991,us,2,University of Kansas
1,Dorell Wright\wrighdo01,SF,6/9,205,December 2 1985,us,10,
12,Steven Adams\adamsst01,C,7/1,255,July 20 1993,nz,1,University of Pittsburgh
14,D.J. Augustin\augusdj01,PG,6/1,183,November 10 1987,us,6,University of Texas at Austin
4,Nick Collison\collini01,PF,6/10,255,October 26 1980,us,10,University of Kansas
35,Kevin Durant\duranke01,SF,6/9,240,September 29 1988,us,7,University of Texas at Austin
9,Serge Ibaka\ibakase01,PF,6/10,235,September 18 1989,cg,5,
15,Reggie Jackson\jacksre01,PG,6/3,208,April 16 1990,it,3,Boston College
7,Grant Jerrett\jerregr01,PF,6/10,235,July 8 1993,us,R,University of Arizona
3,Perry Jones\jonespe01,SF,6/11,235,September 24 1991,us,2,Baylor University
34,Enes Kanter\kanteen01,C,6/11,245,May 20 1992,ch,3,
11,Jeremy Lamb\lambje01,SG,6/5,185,May 30 1992,us,2,University of Connecticut
33,Mitch McGary\mcgarmi01,PF,6/10,255,June 6 1992,us,R,University of Michigan
2,Anthony Morrow\morroan01,SG,6/5,210,September 27 1985,us,6,Georgia Institute of Technology
6,Steve Novak\novakst01,PF,6/10,225,June 13 1983,us,8,Marquette University
5,Kendrick Perkins\perkike01,C,6/10,270,November 10 1984,us,11,
21,Andre Roberson\roberan03,SG,6/7,210,December 4 1991,us,1,University of Colorado
5,Kyle Singler\singlky01,SF,6/8,228,May 4 1988,us,2,Duke University
8,Ish Smith\smithis01,PG,6/1,175,July 5 1988,us,4,Wake Forest University
31,Sebastian Telfair\telfase01,PG,6/1,165,June 9 1985,us,9,
42,Lance Thomas\thomala01,SF,6/8,235,April 24 1988,us,3,Duke University
23,Dion Waiters\waitedi01,SG,6/4,225,December 10 1991,us,2,Syracuse University
0,Russell Westbrook\westbru01,PG,6/3,200,November 12 1988,us,6,University of California Los Angeles
22,Jerrelle Benimon\benimje01,PF,6/8,245,August 1 1991,us,R,Georgetown University Towson University
33,Trevor Booker\booketr01,PF,6/8,228,November 25 1987,us,4,Clemson University
3,Trey Burke\burketr01,PG,6/1,191,November 12 1992,us,1,University of Michigan
10,Alec Burks\burksal01,SG,6/6,214,July 20 1991,us,3,University of Colorado
19,Patrick Christopher\chrispa01,SG,6/5,209,June 3 1988,us,R,University of California
21,Ian Clark\clarkia01,SG,6/3,175,March 7 1991,us,1,Belmont University
45,Jack Cooley\cooleja01,C,6/9,260,April 4 1991,us,R,University of Notre Dame
8,Bryce Cotton\cottobr01,PG,6/1,165,August 11 1992,us,R,Providence College
