No.,Player,Pos,Ht,Wt,Birth Date,Nationality,Exp,College
12,Kelly Oubre\oubreke01,SF,6/7,205,December 9 1995,us,R,University of Kansas
22,Otto Porter\porteot01,SF,6/8,198,June 3 1993,us,2,Georgetown University
7,Ramon Sessions\sessira01,PG,6/3,190,April 11 1986,us,8,University of Nevada Reno
17,Garrett Temple\templga01,SF,6/6,195,May 8 1986,us,5,Louisiana State University
15,Marcus Thornton\thornma01,SG,6/4,205,June 5 1987,us,6,Louisiana State University
2,John Wall\walljo01,PG,6/4,195,September 6 1990,us,5,University of Kentucky
15,Keith Appling\applike01,PG,6/1,185,February 13 1992,us,R,Michigan State University
3,Dewayne Dedmon\dedmode01,C,7/1,245,August 12 1989,us,2,University of Southern California
10,Evan Fournier\fournev01,SF,6/7,205,October 29 1992,fr,3,
8,Channing Frye\fryech01,PF,6/11,255,May 17 1983,us,9,University of Arizona
0,Aaron Gordon\gordoaa01,PF,6/9,220,September 16 1995,us,1,University of Arizona
12,Tobias Harris\harrito02,PF,6/9,235,July 15 1992,us,4,University of Tennessee
23,Mario Hezonja\hezonma01,SF,6/8,215,February 25 1995,hr,R,
7,Ersan Ilyasova\ilyaser01,PF,6/10,235,May 15 1987,tr,7,
55,Brandon Jennings\jennibr01,PG,6/1,170,September 23 1989,us,6,
11,Devyn Marble\marblde01,SG,6/6,200,September 21 1992,us,1,University of Iowa
13,Shabazz Napier\napiesh01,PG,6/1,175,July 14 1991,us,1,University of Connecticut
44,Andrew Nicholson\nichoan01,PF,6/9,250,December 8 1989,ca,3,St. Bonaventure University
5,Victor Oladipo\oladivi01,SG,6/4,210,May 4 1992,us,2,Indiana University
4,Elfrid Payton\paytoel01,PG,6/4,185,February 22 1994,us,1,University of Louisiana at Lafayette
14,Jason Smith\smithja02,C,7/1,245,March 2 1986,us,7,Colorado State University
9,Nikola Vucevic\vucevni01,C,7/1,260,October 24 1990,ch,4,University of Southern California
32,C.J. Watson\watsocj01,PG,6/2,175,April 17 1984,us,8,University of Tennessee
34,Giannis Antetokounmpo\antetgi01,PG,6/11,222,December 6 1994,gr,2,
19,Jerryd Bayless\bayleje01,SG,6/3,200,August 20 1988,us,7,University of Arizona
5,Michael Carter-Williams\cartemi01,PG,6/6,190,October 10 1991,us,2,Syracuse University
9,Chris Copeland\copelch01,PF,6/9,239,March 17 1984,us,3,University of Colorado
9,Jared Cunningham\cunnija01,SG,6/4,195,May 22 1991,us,3,Oregon State University
11,Tyler Ennis\ennisty01,PG,6/3,194,August 24 1994,ca,1,Syracuse University
31,John Henson\hensojo01,C,6/11,229,December 28 1990,us,3,University of North Carolina
17,Damien Inglis\inglida01,SF,6/8,246,May 20 1995,gf,R,
3,O.J. Mayo\mayooj01,SG,6/5,210,November 5 1987,us,7,University of Southern California
22,Khris Middleton\middlkh01,SG,6/8,234,August 12 1991,us,3,Texas A&M University
15,Greg Monroe\monrogr01,C,6/11,265,June 4 1990,us,5,Georgetown University
6,Steve Novak\novakst01,PF,6/10,225,June 13 1983,us,9,Marquette University
77,Johnny O'Bryant\obryajo01,PF,6/9,257,June 1 1993,us,1,Louisiana State University
12,Jabari Parker\parkeja01,PF,6/8,250,March 15 1995,us,1,Duke University
18,Miles Plumlee\plumlmi01,C,6/11,249,September 1 1988,us,3,Duke University
21,Greivis Vasquez\vasqugr01,PG,6/6,217,January 16 1987,ve,5,University of Maryland
20,Rashad Vaughn\vaughra01,SG,6/6,202,August 16 1996,us,R,University of Nevada Las Vegas
4,Arron Afflalo\afflaar01,SG,6/5,210,October 15 1985,us,8,University of California Los Angeles
17,Lou Amundson\amundlo01,PF,6/9,220,December 7 1982,us,9,University of Nevada Las Vegas
43,Thanasis Antetokounmpo\antetth01,SF,6/7,205,July 17 1992,gr,R,
7,Carmelo Anthony\anthoca01,SF,6/8,240,May 29 1984,us,12,Syracuse University
3,Jose Calderon\caldejo01,PG,6/3,200,September 28 1981,es,10,
11,Cleanthony Early\earlycl01,SF,6/8,210,April 17 1991,us,1,Wichita State University
32,Jimmer Fredette\fredeji01,SG,6/2,195,February 25 1989,us,4,Brigham Young University
2,Langston Galloway\gallola01,PG,6/2,200,December 9 1991,us,1,Saint Joseph's University
13,Jerian Grant\grantje02,PG,6/4,195,October 9 1992,us,R,University of Notre Dame
8,Robin Lopez\lopezro01,C,7/1,255,April 1 1988,us,7,Stanford University
9,Kyle O'Quinn\oquinky01,PF,6/10,250,March 26 1990,us,3,Norfolk State University
6,Kristaps Porzingis\porzikr01,PF,7/3,240,August 2 1995,lv,R,
1,Kevin Seraphin\serapke01,C,6/9,285,December 7 1989,gf,5,
42,Lance Thomas\thomala01,PF,6/8,235,April 24 1988,us,4,Duke University
18,Sasha Vujacic\vujacsa01,SG,6/7,195,March 8 1984,si,8,
23,Derrick Williams\willide02,SF,6/8,240,May 25 1991,us,4,University of Arizona
9,Andrea Bargnani\bargnan01,C,7/1,245,October 26 1985,it,9,
44,Bojan Bogdanovic\bogdabo02,SF,6/8,216,April 18 1989,ba,1,
22,Markel Brown\brownma02,SG,6/3,190,January 29 1992,us,1,Oklahoma State University
21,Wayne Ellington\ellinwa01,SG,6/4,200,October 29 1987,us,6,University of North Carolina
24,Rondae Hollis-Jefferson\holliro01,SF,6/7,220,January 3 1995,us,R,University of Arizona
2,Jarrett Jack\jackja01,PG,6/3,200,October 28 1983,us,10,Georgia Institute of Technology
7,Joe Johnson\johnsjo02,SF,6/7,240,June 29 1981,us,14,University of Arkansas
10,Sergey Karasev\karasse01,SF,6/7,208,October 26 1993,ru,2,
6,Sean Kilpatrick\kilpase01,SG,6/4,210,January 6 1990,us,1,University of Cincinnati
0,Shane Larkin\larkish01,PG,5/11,175,October 2 1992,us,2,University of Miami
11,Brook Lopez\lopezbr01,C,7/1,275,April 1 1988,us,7,Stanford University
1,Chris McCullough\mcculch01,PF,6/11,200,February 5 1995,us,R,Syracuse University
33,Willie Reed\reedwi02,C,6/10,220,May 16 1990,us,R,Saint Louis University
41,Thomas Robinson\robinth01,PF,6/10,237,March 17 1991,us,3,University of Kansas
14,Henry Sims\simshe01,C,6/10,248,March 27 1990,us,3,Georgetown University
15,Donald Sloan\sloando01,PG,6/3,205,January 15 1988,us,4,Texas A&M University
30,Thaddeus Young\youngth01,PF,6/8,221,June 21 1988,us,8,Georgia Institute of Technology
42,Elton Brand\brandel01,C,6/8,275,March 11 1979,us,16,Duke University
0,Isaiah Canaan\canaais01,SG,6/1,201,May 21 1991,us,2,Murray State University
33,Robert Covington\covinro01,SF,6/9,215,December 14 1990,us,2,Tennessee State University
39,Jerami Grant\grantje01,PF,6/8,210,March 12 1994,us,1,Syracuse University
22,Richaun Holmes\holmeri01,PF,6/10,245,October 15 1993,us,R,Bowling Green State University
7,Carl Landry\landrca01,PF,6/9,248,September 19 1983,us,8,Purdue University
5,Kendall Marshall\marshke01,PG,6/4,200,August 19 1991,us,3,University of North Carolina
12,T.J. McConnell\mccontj01,PG,6/2,200,March 25 1992,us,R,Duquesne University University of Arizona
4,Nerlens Noel\noelne01,C,6/11,228,April 10 1994,us,1,University of Kentucky
8,Jahlil Okafor\okafoja01,C,6/11,275,December 15 1995,us,R,Duke University
26,Phil Pressey\pressph01,PG,5/11,175,February 17 1991,us,2,University of Missouri
9,JaKarr Sampson\sampsja02,SF,6/9,214,March 20 1993,us,1,St. John's University
1,Ish Smith\smithis01,PG,6/1,175,July 5 1988,us,5,Wake Forest University
11,Nik Stauskas\stausni01,SG,6/6,205,October 7 1993,ca,1,University of Michigan
31,Hollis Thompson\thompho01,SG,6/8,206,April 3 1991,us,2,Georgetown University
9,Sonny Weems\weemsso01,SF,6/6,205,July 8 1986,us,3,University of Arkansas
35,Christian Wood\woodch01,PF,6/11,220,September 27 1995,us,R,University of Nevada Las Vegas
1,Tony Wroten\wroteto01,PG,6/6,205,April 13 1993,us,3,University of Washington
19,Leandro Barbosa\barbole01,SG,6/3,194,November 28 1982,br,12,
40,Harrison Barnes\barneha02,SF,6/8,210,May 30 1992,us,3,University of North Carolina
12,Andrew Bogut\bogutan01,C,7/1,260,November 28 1984,au,10,University of Utah
21,Ian Clark\clarkia01,SG,6/3,175,March 7 1991,us,2,Belmont University
30,Stephen Curry\curryst01,PG,6/3,190,March 14 1988,us,6,Davidson College
31,Festus Ezeli\ezelife01,C,6/11,255,October 21 1989,ng,2,Vanderbilt University
23,Draymond Green\greendr01,PF,6/7,230,March 4 1990,us,3,Michigan State University
9,Andre Iguodala\iguodan01,SF,6/6,215,January 28 1984,us,11,University of Arizona
34,Shaun Livingston\livinsh01,PG,6/7,192,September 11 1985,us,10,
36,Kevon Looney\looneke01,PF,6/9,220,February 6 1996,us,R,University of California Los Angeles
20,James Michael McAdoo\mcadoja01,PF,6/9,230,January 4 1993,us,1,University of North Carolina
4,Brandon Rush\rushbr01,SG,6/6,220,July 7 1985,us,7,University of Kansas
5,Marreese Speights\speigma01,C,6/10,255,August 4 1987,us,7,University of Florida
1,Jason Thompson\thompja02,C,6/11,250,July 21 1986,us,7,Rider University
11,Klay Thompson\thompkl01,SG,6/7,215,February 8 1990,us,4,Washington State University
18,Anderson Varejao\varejan01,C,6/10,273,September 28 1982,br,11,
12,LaMarcus Aldridge\aldrila01,PF,6/11,260,July 19 1985,us,9,University of Texas at Austin
1,Kyle Anderson\anderky01,SF,6/9,230,September 20 1993,us,1,University of California Los Angeles
15,Matt Bonner\bonnema01,C,6/10,235,April 5 1980,us,11,University of Florida
18,Rasual Butler\butlera01,SF,6/7,215,May 23 1979,us,12,La Salle University
33,Boris Diaw\diawbo01,PF,6/8,250,April 16 1982,fr,12,
21,Tim Duncan\duncati01,C,6/11,250,April 25 1976,vi,18,Wake Forest University
20,Manu Ginobili\ginobma01,SG,6/6,205,July 28 1977,ar,13,
14,Danny Green\greenda02,SG,6/6,215,June 22 1987,us,6,University of North Carolina
2,Kawhi Leonard\leonaka01,SF,6/7,230,June 29 1991,us,4,San Diego State University
40,Boban Marjanovic\marjabo01,C,7/3,290,August 15 1988,rs,R,
23,Kevin Martin\martike02,SG,6/7,199,February 1 1983,us,11,Western Carolina University
3,Ray McCallum\mccalra01,PG,6/3,190,June 12 1991,us,2,University of Detroit Mercy
24,Andre Miller\millean02,PG,6/3,200,March 19 1976,us,16,University of Utah
8,Patty Mills\millspa02,PG,6/1,185,August 11 1988,au,6,Saint Mary's College of California
9,Tony Parker\parketo01,PG,6/2,185,May 17 1982,be,14,
17,Jonathon Simmons\simmojo02,SG,6/6,195,September 14 1989,us,R,University of Houston
30,David West\westda01,PF,6/9,250,August 29 1980,us,12,Xavier University
12,Steven Adams\adamsst01,C,7/1,255,July 20 1993,nz,2,University of Pittsburgh
14,D.J. Augustin\augusdj01,PG,6/1,183,November 10 1987,us,7,University of Texas at Austin
4,Nick Collison\collini01,PF,6/10,255,October 26 1980,us,11,University of Kansas
35,Kevin Durant\duranke01,SF,6/9,240,September 29 1988,us,8,University of Texas at Austin
6,Randy Foye\foyera01,SG,6/4,213,September 24 1983,us,9,Villanova University
34,Josh Huestis\huestjo01,PF,6/7,230,December 19 1991,us,R,Stanford University
9,Serge Ibaka\ibakase01,PF,6/10,235,September 18 1989,cg,6,
11,Enes Kanter\kanteen01,C,6/11,245,May 20 1992,ch,4,
33,Mitch McGary\mcgarmi01,PF,6/10,255,June 6 1992,us,1,University of Michigan
13,Nazr Mohammed\mohamna01,C,6/10,221,September 5 1977,us,17,University of Kentucky
2,Anthony Morrow\morroan01,SG,6/5,210,September 27 1985,us,7,Georgia Institute of Technology
6,Steve Novak\novakst01,PF,6/10,225,June 13 1983,us,9,Marquette University
22,Cameron Payne\payneca01,PG,6/3,185,August 8 1994,us,R,Murray State University
21,Andre Roberson\roberan03,SG,6/7,210,December 4 1991,us,2,University of Colorado
5,Kyle Singler\singlky01,SF,6/8,228,May 4 1988,us,3,Duke University
3,Dion Waiters\waitedi01,SG,6/4,225,December 10 1991,us,3,Syracuse University
0,Russell Westbrook\westbru01,PG,6/3,200,November 12 1988,us,7,University of California Los Angeles
45,Cole Aldrich\aldrico01,C,6/11,250,October 31 1988,us,5,University of Kansas
19,Jeff Ayres\pendeje02,C,6/9,240,April 29 1987,us,5,Arizona State University
11,Jamal Crawford\crawfja01,SG,6/5,200,March 20 1980,us,15,University of Michigan
22,Branden Dawson\dawsobr01,PF,6/6,225,February 1 1993,us,R,Michigan State University
8,Jeff Green\greenje02,SF,6/9,235,August 28 1986,us,7,Georgetown University
32,Blake Griffin\griffbl01,PF,6/10,251,March 16 1989,us,5,University of Oklahoma
33,Wesley Johnson\johnswe01,SF,6/7,215,July 11 1987,us,5,Iowa State University Syracuse University
6,DeAndre Jordan\jordade01,C,6/11,265,July 21 1988,us,7,Texas A&M University
12,Luc Mbah a Moute\mbahalu01,PF,6/8,230,September 9 1986,cm,7,University of California Los Angeles
3,Chris Paul\paulch01,PG,6/1,175,May 6 1985,us,10,Wake Forest University
34,Paul Pierce\piercpa01,SF,6/7,235,October 13 1977,us,17,University of Kansas
9,Pablo Prigioni\prigipa01,PG,6/3,185,May 17 1977,ar,3,
4,J.J. Redick\redicjj01,SG,6/4,190,June 24 1984,us,9,Duke University
25,Austin Rivers\riverau01,SG,6/4,200,August 1 1992,us,3,Duke University
5,Josh Smith\smithjo03,PF,6/9,225,December 5 1985,us,11,
1,Lance Stephenson\stephla01,SF,6/5,230,September 5 1990,us,5,University of Cincinnati
35,Alex Stepheson\stephal01,PF,6/10,270,August 7 1987,us,R,University of North Carolina University of Southern California
30,C.J. Wilcox\wilcocj01,SG,6/5,195,December 30 1990,us,1,University of Washington
34,Cliff Alexander\alexacl01,PF,6/8,245,November 16 1995,us,R,University of Kansas
8,Al-Farouq Aminu\aminual01,SF,6/9,220,September 21 1990,us,5,Wake Forest University
5,Pat Connaughton\connapa01,SG,6/5,206,January 6 1993,us,R,University of Notre Dame
23,Allen Crabbe\crabbal01,SG,6/6,210,April 9 1992,us,2,University of California
17,Ed Davis\davised01,PF,6/10,240,June 5 1989,us,5,University of North Carolina
10,Tim Frazier\fraziti01,PG,6/1,170,November 1 1990,us,1,Pennsylvania State University
4,Maurice Harkless\harklma01,SF,6/9,215,May 11 1993,us,3,St. John's University
9,Gerald Henderson\hendege02,SG,6/5,215,December 9 1987,us,6,Duke University
35,Chris Kaman\kamanch01,C,7/1,265,April 28 1982,us,12,Central Michigan University
